[META]
id:       P.VIND.BOSW 6
label:    P.VIND.BOSW 6
name:     Contract — Hermopolis
genre:    contracts
date:     250 CE
language: Greek (Koiné)
found:    Hermopolis
held:     
shelf:    
content:  Contract from Hermopolis (250 CE)
# hgv-keywords: Urkunde (Bank) — Verkauf — Land (Katöken)
tm:       17299
source:   https://papyri.info/ddbdp/p.vind.bosw;;6
lat:      27.7813573345
lon:      30.8037580511

[GREEK]
r.1    ἔτους α [Αὐτοκράτο]ρος Καίσαρος Γαΐου Μεσ[σίου Κ]υίντου Τραϊανοῦ Δεκ[ίου Ε]ὐσεβοῦς Εὐτυχοῦς Σεβαστοῦ Τῦβι κα. διαγραφὴ
r.2    διὰ τῆς ἐν Ἑρμοῦ πόλει μισθωτῶν τραπέζης. Αὐρήλιος Μάξιμος ὁ καὶ Ἰκρελλιανὸς βουλευτὴς Ἑρμοῦ πόλεως
r.3    Αὐρηλίοις Ἀχιλλιανῷ τῷ καὶ Μαξίμῳ
r.4    [καὶ] Ἑρμ[είνῳ τῷ καὶ ][Θέ]ωνι καὶ Δημητρίᾳ τῇ καὶ [Τινούτ]ι καὶ Χαρίνᾳ τῇ καὶ Ἀ[ρτεμι]δώρᾳ ταῖς β χωρὶς κυρίου χρηματιζούσαις
r.5    κατὰ τὰ Ῥωμαίων ἔθη τέκνων δικαίῳ εἰδυίαις γράμματα τοῖς δ Ἑρμοῦ τοῦ καὶ Μαξίμου γυμνασιαρχήσαντος καὶ
r.6    ἀρχιερατεύσαντος γενομένου βουλευτοῦ Ἑρμοῦ πόλεως Φρουρίου λιβὸς μετὰ κουράτορος
r.7    [Ἑρμείνου] τοῦ κα[ὶ Σαπρί]ων[ο]ς Αὐρηλίου Διοσκόρου τοῦ καὶ Μενχή[ους ][συ]μπαρόντος ταῖς θηλείαις τῇ μὲν Δη[μ]ητρίᾳ
r.8    τῇ καὶ Τινούτι τοῦ ἑαυτῆς ἀνδρὸς Αὐρηλίου Ἀπόλλωνος τοῦ καὶ Ἀρείου ἐξηγητεύσαντος καὶ ἀρχιερατεύσαντος βουλευτοῦ
r.9    τῆς αὐτῆς πόλεως, τῇ δὲ Χαρίνᾳ τῇ καὶ Ἀρτεμιδώρᾳ Αὐρηλίου Θέωνος Ἑρμείνου,
r.10   [πεπρα]κέναι αὐτοὺς τὰς ὑπ[α]ρχούσας αὐτοῖς περὶ Ἀρμῶτνιν ἐκ τοῦ Τ[ι]μωνίδου κλήρου ἀπʼ ἀρουρῶν γ ϛ ἐν κοιναῖς
r.11   ἀρούραις θ 𐅵 γῆς κατοικικῆς ἀναιτήτου ἀρούρας γ ὧν τῷ μὲν Ἀχιλλιανῷ μέρη β ἀπομεριστά, τοῖς δʼ ἄλλοις γ τὰ λοιπὰ μέρη
r.12   γ, ἃς παραδώσουσι κατʼ ἀγρὸν σπορίμας πλήρεις
r.13   [τῷ τῆ]ς κατοικίας δικαίῳ σχοινίῳ καθαρὰς ἀπὸ βασιλικῆς καὶ παντὸς ἁπλῶς εἴδους τιμῆς ἀργυρίου δραχμῶν Α
r.14   γίνονται ἀργυρίου δραχμαὶ Α [ἃς καὶ] αὐτόθι ἀπεσχήκεσαν κατὰ τὰ μέρη παρὰ τοῦ ὠνουμένου κατὰ τῆνδε τὴν διαγραφὴν
r.15   καὶ εἶναι περὶ αὐτὸν τὸν ὠνούμενον καὶ τοὺς παρʼ αὐτοῦ τὴν τούτων κυρείαν
r.16   [καὶ ][κρά]τησιν χρωμένους καὶ οἰκονομοῦντας περὶ αὐτῶν καθʼ ὃν ἐὰν αἱρῶνται τρόπον ἐπὶ τὸν ἅπαντα χρόνον ἐπὶ ταῖς
r.17   ὑποκειμέναις γειτνίαις καὶ λοιποῖς ορυμ καὶ ἐπηρωτηθέντες ὡμολόγησαν. Αὐρήλιος Ἀμωνίων τραπεζίτης σεσημείωμαι.
r.18   [Αὐρήλιοι Ἀ]χιλλιανὸς ὁ καὶ Μάξιμ[ος] κα[ὶ] Ἑρμεῖνος ὁ καὶ Θέων καὶ Δημητρία ἡ καὶ Τινοῦτις καὶ Χαρῖνα ἡ καὶ
r.19   Ἀρτεμιδώρα αἱ δύο χωρὶς κυρίου χρηματίζουσαι τέκνων δικαίῳ κατὰ τὰ Ῥω[μαίων ἔθη εἰδυῖ]αι γράμματα, οἱ δ Ἑρμοῦ [το]ῦ καὶ Μαξίμου γυμν[ασια]ρχήσαντος καὶ ἀρχιερατεύσαντος γενομένου βουλευτοῦ
r.20   Ἑρμοῦ πόλεως τῆς μεγάλης ἀρχαίας καὶ λαμπρᾶς καὶ σεμνοτάτης ἀναγραφόμενοι ἐπὶ
